vote_count,release_year,release_month,sentiment_score,Comedy,Horror,Action,SciFi,Fantasy,Other
4293.0,1994.0,9.0,0.23727272727272725,0,0,0,0,0,1
9.0,1995.0,5.0,-0.09375,1,0,0,0,0,0
2.0,1995.0,4.0,0.21666666666666665,1,0,0,0,0,0
8670.0,1994.0,9.0,0.16666666666666666,0,0,0,0,0,1
6.0,1995.0,11.0,-0.1111111111111111,0,0,0,0,0,1
9.0,1992.0,2.0,0.05454545454545454,1,0,0,0,0,0
32.0,1994.0,1.0,0.019444444444444445,0,0,0,0,0,1
262.0,1994.0,9.0,0.11666666666666665,0,0,0,0,0,1
5.0,1995.0,5.0,-0.2534090909090909,0,0,0,0,0,1
67.0,1994.0,5.0,-0.10000000000000002,0,0,0,0,0,1
431.0,1995.0,2.0,0.0,0,0,1,0,0,0
7.0,1995.0,3.0,0.0,1,0,0,0,0,0
33.0,1994.0,12.0,0.08333333333333333,1,0,0,0,0,0
246.0,1994.0,5.0,0.09,0,0,0,0,0,1
311.0,1993.0,1.0,0.13636363636363635,0,0,0,0,0,1
218.0,1994.0,1.0,-0.10625000000000001,1,0,0,0,0,0
2.0,1994.0,10.0,0.25,0,0,0,0,0,1
15.0,1995.0,1.0,0.20833333333333334,1,0,0,0,0,0
3.0,1995.0,10.0,0.02,0,1,0,0,0,0
6.0,1995.0,4.0,0.06818181818181818,1,0,0,0,0,0
251.0,1994.0,11.0,0.09285714285714286,0,0,0,0,0,1
15.0,1994.0,1.0,-0.006392045454545456,0,0,0,0,1,0
317.0,1994.0,10.0,0.016666666666666653,0,0,1,0,0,0
942.0,1994.0,10.0,0.0,0,0,1,0,0,0
501.0,1994.0,11.0,-0.004545454545454547,1,0,0,0,0,0
8358.0,1994.0,9.0,0.021338383838383834,0,0,0,0,0,1
247.0,1994.0,12.0,-0.03181818181818183,0,0,0,0,0,1
7.0,1993.0,9.0,0.1647077922077922,0,0,0,0,0,1
16.0,1993.0,1.0,0.14294871794871794,1,0,0,0,0,0
104.0,1994.0,9.0,0.17500000000000002,1,0,0,0,0,0
21.0,1994.0,7.0,0.4666666666666666,1,0,0,0,0,0
23.0,1995.0,9.0,-0.11111111111111112,1,0,0,0,0,0
62.0,1994.0,6.0,0.25,0,0,0,0,0,1
140.0,1995.0,3.0,0.0,1,0,0,0,0,0
96.0,1995.0,1.0,0.0,1,0,0,0,0,0
461.0,1994.0,11.0,-0.1,0,0,1,0,0,0
33.0,1995.0,5.0,-0.025,0,1,0,0,0,0
8.0,1994.0,4.0,0.0,0,0,0,0,0,1
165.0,1995.0,4.0,0.047619047619047616,0,1,0,0,0,0
321.0,1995.0,3.0,-0.1,1,0,0,0,0,0
15.0,1994.0,9.0,0.014814814814814808,0,0,0,0,0,1
15.0,1995.0,4.0,0.12159090909090908,0,0,0,0,0,1
4.0,1995.0,2.0,-0.10625,0,0,0,0,0,1
